type	latitude	longitude	name	desc	kml_folder
T	59.354491163	18.079894914	Huddinge [6:LineString]		Varta-Kungsholmen.kmz
T	59.354475224	18.078651877			
T	59.354572149	18.075914555			
T	59.354556175	18.074671220			
T	59.354711131	18.071308624			
T	59.354698320	18.070313598			
T	59.354753177	18.069440866			
T	59.354730730	18.067699359			
T	59.354779163	18.066328578			
T	59.354769530	18.065582126			
T	59.354761499	18.064960082			
T	59.354743822	18.063591581			
T	59.354664880	18.062599196			
T	59.354653621	18.061728430			
T	59.354645576	18.061106454			
T	59.354631088	18.059986893			
T	59.354618204	18.058991725			
T	59.354603702	18.057872158			
T	59.354589192	18.056752587			
T	59.354507007	18.055512342			
T	59.354487638	18.054019745			
T	59.354336202	18.052535297			
T	59.354181589	18.050802889			
T	59.354171888	18.050056931			
T	59.354092980	18.049066802			
T	59.353885464	18.048334641			
T	59.353813087	18.047842193			
T	59.353737489	18.047101380			
T	59.353648951	18.045366932			
T	59.353433615	18.044015669			
T	59.353362947	18.043648238			
T	59.353155896	18.042918837			
T	59.353082049	18.042303484			
T	59.352942504	18.041693619			
T	59.352870323	18.041202693			
T	59.352591479	18.039984192			
T	59.352383320	18.039133047			
T	59.352309639	18.038518923			
T	59.351892207	18.036695182			
T	59.351333246	18.034019992			
T	59.351063872	18.033426432			
T	59.350864844	18.033198018			
T	59.350328823	18.032136729			
T	59.349858784	18.031070860			
T	59.349253230	18.029526859			
T	59.348988995	18.029184034			
T	59.348657015	18.028601978			
T	59.348461250	18.028499340			
T	59.347595601	18.026620996			
T	59.347060672	18.025203336			
T	59.346664966	18.024510065			
T	59.346534803	18.024401913			
T	59.346271418	18.023940429			
T	59.345681295	18.023026182			
T	59.345487551	18.022926018			
T	59.345226737	18.022588509			
T	59.344828684	18.021532230			
T	59.344561996	18.020706559			
T	59.344104352	18.019905016			
T	59.343711046	18.019096892			
T	59.343261210	18.018785915			
T	59.342940567	18.018581519			
T	59.342555308	18.018263437			
T	59.342168959	18.017824011			
T	59.342105694	18.017832010			
T	59.341783134	18.017385192			
T	59.341525670	18.017052438			
T	59.340882221	18.016161130			
T	59.340625570	18.015829471			
T	59.340056601	18.015660613			
T	59.339737966	18.015337923			
T	59.338907655	18.014234309			
T	59.338590311	18.013913097			
T	59.338268500	18.013229457			
T	59.337755310	18.012209748			
T	59.337367400	18.011174514			
T	59.336908252	18.009425623			
T	59.336588297	18.008746548			
T	59.336397459	18.008411793			
T	59.336270304	18.008188752			
T	59.336078071	18.007733909			
T	59.335824102	18.007288489			
T	59.335628951	18.006593567			
T	59.335437142	18.006139780			
T	59.335053906	18.005233135			
T	59.334672784	18.004447889			
T	59.334348871	18.003293900			
T	59.334284130	18.003063260			
T	59.334031739	18.002621355			
T	59.333836163	18.001810209			
T	59.333639104	18.000879653			
T	59.333511552	18.000539462			
T	59.333442170	17.999949719			
T	59.333245360	17.999020413			
T	59.333045456	17.997852055			
T	59.332716849	17.996225920			
T	59.332581638	17.995288588			
T	59.332452922	17.994830544			
T	59.332386975	17.994481896			
T	59.332256731	17.993904509			
T	59.332185992	17.993197077			
T	59.332108816	17.992011195			
T	59.332039710	17.991423768			
T	59.332030033	17.990705913			
T	59.331956097	17.989759809			
T	59.331821171	17.988825040			
T	59.331748883	17.987999038			
T	59.331605957	17.986467133			
T	59.331538551	17.986000321			
T	59.331459840	17.984696822			
T	59.331382754	17.983513123			
T	59.331366567	17.982317811			
T	59.331235074	17.981624510			
T	59.331228596	17.981146480			
T	59.331153148	17.980083033			
T	59.331146665	17.979605056			
T	59.331079329	17.979139291			
T	59.331067977	17.978302911			
T	59.330982800	17.976523160			
T	59.330963311	17.975089474			
T	59.330878112	17.973310208			
T	59.330869980	17.972712884			
T	59.330845568	17.970920886			
T	59.331003606	17.969088785			
T	59.331000345	17.968849756			
T	59.330988929	17.968013171			
T	59.331039988	17.967282528			
T	59.331031826	17.966684887			
T	59.331081257	17.965834451			
T	59.331186675	17.964611262			
T	59.331168686	17.963295954			
T	59.331162142	17.962817648			
T	59.331139223	17.961143570			
T	59.331129394	17.960426100			
T	59.331109725	17.958991128			
T	59.331096604	17.958034462			
T	59.331088400	17.957436539			
T	59.331139441	17.956704259			
T	59.331136157	17.956465060			
T	59.331246478	17.955598050			
T	59.331361774	17.955089618			
T	59.331416153	17.954595973			
T	59.331473831	17.954341582			
