type	latitude	longitude	name	desc	kml_folder
T	59.258668575	17.879502845	Huddinge [2:LineString]		Fittja-Hogdalen-skogås.kmz
T	59.259234086	17.880514736			
T	59.260398442	17.884725984			
T	59.262105225	17.888313948			
T	59.262696292	17.890969363			
T	59.264170473	17.897338274			
T	59.264478428	17.899488292			
T	59.265677960	17.905902303			
T	59.266010310	17.909696272			
T	59.266926391	17.915606141			
T	59.267778186	17.917137325			
T	59.268662596	17.920860745			
T	59.269271135	17.924622623			
T	59.270148016	17.927801513			
T	59.270180086	17.929993811			
T	59.270748815	17.931018031			
T	59.271602243	17.932555058			
T	59.273009519	17.934021458			
T	59.274140954	17.935524781			
T	59.275265117	17.936480215			
T	59.276675351	17.937950055			
T	59.277809149	17.939456515			
T	59.278649998	17.939900141			
T	59.279785073	17.941408236			
T	59.282073332	17.945527863			
T	59.282637884	17.946008472			
T	59.284340605	17.948001854			
T	59.285766104	17.950031789			
T	59.288030215	17.951960734			
T	59.288876059	17.952409145			
T	59.290289363	17.953340895			
T	59.291431957	17.954859322			
T	59.293190785	17.960175232			
T	59.294062860	17.962283119			
T	59.294935331	17.964392156			
T	59.295535613	17.967087788			
T	59.296448096	17.971961841			
T	59.296471691	17.973619517			
T	59.296791598	17.976350093			
T	59.297415731	17.980707313			
T	59.297447045	17.982918038			
T	59.297509563	17.987339458			
T	59.297540767	17.989550117			
T	59.297556356	17.990655458			
T	59.297595287	17.993418739			
T	59.297641930	17.996734653			
T	59.297665220	17.998392603			
T	59.297734968	18.003366346			
T	59.297750442	18.004471623			
T	59.298077610	18.007758103			
T	59.298389327	18.009939692			
T	59.298724156	18.013779967			
T	59.299028187	18.015409668			
T	59.299347612	18.018145366			
T	59.299089645	18.019832113			
T	59.298012112	18.023260404			
T	59.297185265	18.024448853			
T	59.296647003	18.026161341			
T	59.295828453	18.027900610			
T	59.293897184	18.030299673			
T	59.292777184	18.030408332			
T	59.291657931	18.030516905			
T	59.291098581	18.030571159			
T	59.289127102	18.029658957			
T	59.288289412	18.029740489			
T	59.286894191	18.029876268			
T	59.286050000	18.029407252			
T	59.284656629	18.029543070			
T	59.283542766	18.029651628			
T	59.282715463	18.030282808			
T	59.281077276	18.032643124			
T	59.278877820	18.034504921			
T	59.278052825	18.035133767			
T	59.276950940	18.035788780			
T	59.275849782	18.036443301			
T	59.274472469	18.037123700			
T	59.272535552	18.037308074			
T	59.271429746	18.037413318			
T	59.270048512	18.037544758			
T	59.268668423	18.037676069			
T	59.266745752	18.038406611			
T	59.263999687	18.039214416			
T	59.263174487	18.039292587			
T	59.262349694	18.039370712			
T	59.260983471	18.040046691			
T	59.259351507	18.041293517			
T	59.257980221	18.041422610			
T	59.256891521	18.042070926			
T	59.255818560	18.043808641			
T	59.255574807	18.046013739			
T	59.255353512	18.049852919			
T	59.254577444	18.053196020			
T	59.254880888	18.055350189			
T	59.255184339	18.057504734			
T	59.255221553	18.060228557			
T	59.255280976	18.064586622			
T	59.255584330	18.066742148			
T	59.256168888	18.069419623			
T	59.256213242	18.072688990			
T	59.256272251	18.077048110			
T	59.256316410	18.080317420			
T	59.256338458	18.081952067			
T	59.256116016	18.085788009			
T	59.255590509	18.087465765			
T	59.255605147	18.088555224			
T	59.255360722	18.090755461			
T	59.255116295	18.092955294			
T	59.254612898	18.096264707			
T	59.253296728	18.100178768			
T	59.253037969	18.101287682			
T	59.252261881	18.104613236			
T	59.251220331	18.108500618			
T	59.251249207	18.110676122			
T	59.250732211	18.112890250			
T	59.250222552	18.115647249			
T	59.249964158	18.116753564			
T	59.248923783	18.120633379			
T	59.247109826	18.127823632			
T	59.245806043	18.132256040			
T	59.244760822	18.135582037			
T	59.243444539	18.138922565			
T	59.242100963	18.140091478			
T	59.240487282	18.141276039			
T	59.238604271	18.142475908			
T	59.236723402	18.143674276			
T	59.235378202	18.144297501			
T	59.234048158	18.146001574			
T	59.233252046	18.147131402			
T	59.232442269	18.147179793			
T	59.231902633	18.147212039			
